chat ID,conversation
3082292,10:50:46 - PERSON_FIRSTNAME_2 PERSON_LASTNAME_2 : Hi
3082292,10:50:48 - PERSON_FIRSTNAME_2 PERSON_LASTNAME_2 : how can i help you<br />
3082292,"10:51:36 - PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 : Hi, I graduated from SMU in 2022. I would like to access the LKS library. What memberships do I have to apply for?"
3082292,"10:52:01 - PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 : I see both a SMU AA and a SMU library membership, and am confused"
3082292,"10:52:19 - PERSON_FIRSTNAME_2 PERSON_LASTNAME_2 : Hi PERSON_FIRSTNAME_1, are you looking at just using the library spaces? or you need to borrow books and use some of the databases?<br />"
3082292,10:52:31 - PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 : Just using the library spaces
3082292,"10:53:06 - PERSON_FIRSTNAME_2 PERSON_LASTNAME_2 : ok.. if that is the case.. all you need to do is just download the SMU Alumni app.... retrieve the SMU Alumni digital card, and you can use that to access the libraries<br />"
3082292,"10:53:28 - PERSON_FIRSTNAME_2 PERSON_LASTNAME_2 : <a href=""https://alumni.smu.edu.sg/services-benefits/smu-alumni-mobile-app"" target=""_blank"">https://alumni.smu.edu.sg/services-benefits/smu-alumni-mobile-app</a>"
3082292,10:53:37 - PERSON_FIRSTNAME_2 PERSON_LASTNAME_2 : there.. you can refer to the link above<br />
3082292,10:53:41 - PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 : I see. On the app there will be something that I show to the guard at the library entrance?
3082372,15:22:46 - PERSON_FIRSTNAME_3 PERSON_LASTNAME_5 : Hi PERSON_FIRSTNAME_2
3082372,15:22:54 - PERSON_FIRSTNAME_3 PERSON_LASTNAME_5 : Happy New Year. This is PERSON_FIRSTNAME_3. How may I help?
3082372,15:22:57 - PERSON_FIRSTNAME_2 PERSON_LASTNAME_3 : Hi PERSON_FIRSTNAME_3
3082372,15:23:01 - PERSON_FIRSTNAME_2 PERSON_LASTNAME_3 : Happy new year
3082372,15:26:06 - PERSON_FIRSTNAME_3 PERSON_LASTNAME_5 : Hi PERSON_FIRSTNAME_2
3082372,15:26:21 - PERSON_FIRSTNAME_3 PERSON_LASTNAME_5 : May I know if I am able to help in any way?
